Additional_Requirement_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/5_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/6_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/7_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/8_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/9_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/10_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/11_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2026/12_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2027/1_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2027/2_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,2027/3_,北海道,東北,東京,中部,北陸,関西,中国,四国,九州
00:00〜00:30,234,363,1403,450,102,421,224,46,424,00:00〜00:30,157,358,904,439,53,421,248,46,242,00:00〜00:30,158,248,858,350,68,440,195,49,259,00:00〜00:30,175,235,850,391,66,457,185,49,238,00:00〜00:30,143,224,840,435,67,473,186,45,273,00:00〜00:30,120,212,881,414,66,460,190,43,275,00:00〜00:30,,,,,,,,,,00:00〜00:30,,,,,,,,,,00:00〜00:30,,,,,,,,,,00:00〜00:30,,,,,,,,,,00:00〜00:30,,,,,,,,,,00:00〜00:30,,,,,,,,,
00:30〜01:00,234,363,1403,430,102,423,224,46,424,00:30〜01:00,156,358,904,413,53,421,249,46,242,00:30〜01:00,169,248,858,350,68,440,195,49,259,00:30〜01:00,186,235,850,391,66,457,185,49,238,00:30〜01:00,161,224,840,430,67,473,186,45,273,00:30〜01:00,119,212,881,414,66,460,197,43,275,00:30〜01:00,,,,,,,,,,00:30〜01:00,,,,,,,,,,00:30〜01:00,,,,,,,,,,00:30〜01:00,,,,,,,,,,00:30〜01:00,,,,,,,,,,00:30〜01:00,,,,,,,,,
01:00〜01:30,229,363,1403,463,102,421,237,46,424,01:00〜01:30,153,358,904,462,53,419,255,46,242,01:00〜01:30,165,248,858,350,68,440,195,49,259,01:00〜01:30,181,235,850,387,66,457,185,49,238,01:00〜01:30,154,224,840,430,67,473,186,45,273,01:00〜01:30,117,212,881,403,66,460,192,43,275,01:00〜01:30,,,,,,,,,,01:00〜01:30,,,,,,,,,,01:00〜01:30,,,,,,,,,,01:00〜01:30,,,,,,,,,,01:00〜01:30,,,,,,,,,,01:00〜01:30,,,,,,,,,
01:30〜02:00,228,364,1376,460,102,411,236,47,419,01:30〜02:00,149,356,901,457,53,421,253,46,242,01:30〜02:00,163,247,851,333,68,442,195,49,249,01:30〜02:00,177,238,847,381,65,458,184,48,231,01:30〜02:00,151,226,846,426,67,475,186,43,278,01:30〜02:00,116,212,891,402,66,460,190,42,275,01:30〜02:00,,,,,,,,,,01:30〜02:00,,,,,,,,,,01:30〜02:00,,,,,,,,,,01:30〜02:00,,,,,,,,,,01:30〜02:00,,,,,,,,,,01:30〜02:00,,,,,,,,,
02:00〜02:30,228,372,1350,451,102,388,237,48,419,02:00〜02:30,145,363,854,450,53,393,255,46,199,02:00〜02:30,157,244,806,320,65,417,191,48,197,02:00〜02:30,172,222,796,327,66,430,180,39,194,02:00〜02:30,151,228,759,394,67,444,181,36,229,02:00〜02:30,113,212,809,365,68,440,190,40,219,02:00〜02:30,,,,,,,,,,02:00〜02:30,,,,,,,,,,02:00〜02:30,,,,,,,,,,02:00〜02:30,,,,,,,,,,02:00〜02:30,,,,,,,,,,02:00〜02:30,,,,,,,,,
02:30〜03:00,205,324,1228,462,102,362,237,46,381,02:30〜03:00,161,312,773,460,53,376,255,46,224,02:30〜03:00,161,248,713,301,60,368,189,47,173,02:30〜03:00,176,251,686,303,64,366,177,39,178,02:30〜03:00,154,231,705,344,62,396,179,36,214,02:30〜03:00,117,213,745,359,68,417,190,41,213,02:30〜03:00,,,,,,,,,,02:30〜03:00,,,,,,,,,,02:30〜03:00,,,,,,,,,,02:30〜03:00,,,,,,,,,,02:30〜03:00,,,,,,,,,,02:30〜03:00,,,,,,,,,
03:00〜03:30,184,396,657,487,95,343,260,47,322,03:00〜03:30,186,378,496,481,52,360,264,49,229,03:00〜03:30,178,249,445,310,56,322,194,50,151,03:00〜03:30,193,250,546,296,63,326,181,44,164,03:00〜03:30,160,292,715,313,54,290,192,42,211,03:00〜03:30,131,275,739,287,71,430,202,42,208,03:00〜03:30,,,,,,,,,,03:00〜03:30,,,,,,,,,,03:00〜03:30,,,,,,,,,,03:00〜03:30,,,,,,,,,,03:00〜03:30,,,,,,,,,,03:00〜03:30,,,,,,,,,
03:30〜04:00,190,396,657,489,95,387,281,56,319,03:30〜04:00,204,380,496,479,53,408,286,50,243,03:30〜04:00,200,249,445,391,54,353,218,51,162,03:30〜04:00,224,245,546,372,62,382,176,55,168,03:30〜04:00,221,286,717,342,54,346,194,53,213,03:30〜04:00,220,271,741,290,75,427,202,50,204,03:30〜04:00,,,,,,,,,,03:30〜04:00,,,,,,,,,,03:30〜04:00,,,,,,,,,,03:30〜04:00,,,,,,,,,,03:30〜04:00,,,,,,,,,,03:30〜04:00,,,,,,,,,
04:00〜04:30,222,397,657,474,92,420,292,88,302,04:00〜04:30,218,379,496,459,59,433,292,69,261,04:00〜04:30,222,244,445,391,61,417,259,71,255,04:00〜04:30,232,310,535,379,60,464,169,77,218,04:00〜04:30,233,303,716,353,52,422,194,62,227,04:00〜04:30,242,291,741,285,76,440,202,56,219,04:00〜04:30,,,,,,,,,,04:00〜04:30,,,,,,,,,,04:00〜04:30,,,,,,,,,,04:00〜04:30,,,,,,,,,,04:00〜04:30,,,,,,,,,,04:00〜04:30,,,,,,,,,
04:30〜05:00,223,410,657,473,91,421,290,89,297,04:30〜05:00,219,390,496,454,62,434,291,71,265,04:30〜05:00,225,240,445,416,61,427,259,73,261,04:30〜05:00,228,317,546,404,60,489,168,77,231,04:30〜05:00,235,301,717,352,52,421,194,67,228,04:30〜05:00,245,292,741,293,80,447,198,58,219,04:30〜05:00,,,,,,,,,,04:30〜05:00,,,,,,,,,,04:30〜05:00,,,,,,,,,,04:30〜05:00,,,,,,,,,,04:30〜05:00,,,,,,,,,,04:30〜05:00,,,,,,,,,
05:00〜05:30,223,410,657,473,91,422,290,89,297,05:00〜05:30,219,390,496,454,62,434,291,71,265,05:00〜05:30,225,240,445,416,61,427,259,73,261,05:00〜05:30,228,317,546,404,60,489,168,77,231,05:00〜05:30,235,301,717,352,52,421,194,67,228,05:00〜05:30,245,292,741,293,80,447,202,58,219,05:00〜05:30,,,,,,,,,,05:00〜05:30,,,,,,,,,,05:00〜05:30,,,,,,,,,,05:00〜05:30,,,,,,,,,,05:00〜05:30,,,,,,,,,,05:00〜05:30,,,,,,,,,
05:30〜06:00,223,410,657,473,91,421,290,89,297,05:30〜06:00,219,390,496,454,62,434,291,71,265,05:30〜06:00,225,240,445,416,61,427,259,73,261,05:30〜06:00,228,317,546,404,60,489,168,77,231,05:30〜06:00,235,301,717,352,52,421,194,67,228,05:30〜06:00,245,292,741,293,80,447,202,58,219,05:30〜06:00,,,,,,,,,,05:30〜06:00,,,,,,,,,,05:30〜06:00,,,,,,,,,,05:30〜06:00,,,,,,,,,,05:30〜06:00,,,,,,,,,,05:30〜06:00,,,,,,,,,
06:00〜06:30,264,466,1433,534,163,621,406,91,542,06:00〜06:30,249,585,1075,560,173,863,427,113,728,06:00〜06:30,279,603,1229,516,197,862,379,133,728,06:00〜06:30,191,579,1363,522,174,983,378,191,721,06:00〜06:30,223,551,1528,462,169,1040,340,211,522,06:00〜06:30,236,1392,1546,538,115,1056,378,220,536,06:00〜06:30,,,,,,,,,,06:00〜06:30,,,,,,,,,,06:00〜06:30,,,,,,,,,,06:00〜06:30,,,,,,,,,,06:00〜06:30,,,,,,,,,,06:00〜06:30,,,,,,,,,
06:30〜07:00,263,439,1556,522,200,885,406,139,578,06:30〜07:00,255,555,1142,633,202,1044,441,115,679,06:30〜07:00,281,570,1161,665,212,1023,457,137,687,06:30〜07:00,191,541,1302,683,179,1014,456,207,671,06:30〜07:00,254,520,1439,504,173,1094,383,225,516,06:30〜07:00,273,1346,1457,638,126,1101,444,249,506,06:30〜07:00,,,,,,,,,,06:30〜07:00,,,,,,,,,,06:30〜07:00,,,,,,,,,,06:30〜07:00,,,,,,,,,,06:30〜07:00,,,,,,,,,,06:30〜07:00,,,,,,,,,
07:00〜07:30,276,419,1631,1162,191,1191,743,189,716,07:00〜07:30,280,530,1061,603,196,1263,733,167,712,07:00〜07:30,292,533,1084,633,205,1230,753,131,649,07:00〜07:30,191,492,1325,652,166,1084,474,197,633,07:00〜07:30,273,485,1391,536,154,1056,351,201,552,07:00〜07:30,274,1302,1399,649,129,1074,418,234,531,07:00〜07:30,,,,,,,,,,07:00〜07:30,,,,,,,,,,07:00〜07:30,,,,,,,,,,07:00〜07:30,,,,,,,,,,07:00〜07:30,,,,,,,,,,07:00〜07:30,,,,,,,,,
07:30〜08:00,270,428,1633,1222,182,1199,742,191,699,07:30〜08:00,276,513,1024,578,185,1229,732,166,711,07:30〜08:00,287,513,1046,607,193,1193,744,127,622,07:30〜08:00,191,463,1285,651,156,1055,459,189,609,07:30〜08:00,281,453,1363,535,140,1028,341,188,530,07:30〜08:00,270,1259,1344,650,118,1049,415,222,512,07:30〜08:00,,,,,,,,,,07:30〜08:00,,,,,,,,,,07:30〜08:00,,,,,,,,,,07:30〜08:00,,,,,,,,,,07:30〜08:00,,,,,,,,,,07:30〜08:00,,,,,,,,,
08:00〜08:30,276,428,1633,1222,185,1199,742,191,699,08:00〜08:30,282,513,1040,595,190,1229,732,165,707,08:00〜08:30,286,513,1046,629,192,1193,745,129,622,08:00〜08:30,175,463,1285,651,155,1055,459,188,628,08:00〜08:30,281,468,1363,535,140,1028,341,186,531,08:00〜08:30,269,1252,1387,650,123,1049,415,224,512,08:00〜08:30,,,,,,,,,,08:00〜08:30,,,,,,,,,,08:00〜08:30,,,,,,,,,,08:00〜08:30,,,,,,,,,,08:00〜08:30,,,,,,,,,,08:00〜08:30,,,,,,,,,
08:30〜09:00,276,428,1633,1222,185,1199,742,191,699,08:30〜09:00,282,513,1040,595,190,1233,732,165,707,08:30〜09:00,279,513,1046,629,192,1196,746,129,622,08:30〜09:00,193,451,1285,651,155,1055,471,188,631,08:30〜09:00,281,468,1363,535,140,1030,341,186,531,08:30〜09:00,269,1252,1387,650,123,1055,415,224,512,08:30〜09:00,,,,,,,,,,08:30〜09:00,,,,,,,,,,08:30〜09:00,,,,,,,,,,08:30〜09:00,,,,,,,,,,08:30〜09:00,,,,,,,,,,08:30〜09:00,,,,,,,,,
09:00〜09:30,250,633,3615,2314,236,1259,600,228,889,09:00〜09:30,335,622,1220,1216,258,1059,659,248,785,09:00〜09:30,353,466,1097,1214,155,1049,539,129,563,09:00〜09:30,378,449,1268,994,117,554,424,145,604,09:00〜09:30,452,632,1603,700,134,886,405,114,612,09:00〜09:30,438,653,1643,687,88,864,479,187,581,09:00〜09:30,,,,,,,,,,09:00〜09:30,,,,,,,,,,09:00〜09:30,,,,,,,,,,09:00〜09:30,,,,,,,,,,09:00〜09:30,,,,,,,,,,09:00〜09:30,,,,,,,,,
09:30〜10:00,250,891,3516,2310,222,1197,558,355,993,09:30〜10:00,431,873,1179,1187,253,1049,659,396,953,09:30〜10:00,477,533,1110,1179,155,1049,539,286,668,09:30〜10:00,497,510,1198,950,117,554,484,145,551,09:30〜10:00,440,606,1554,666,140,886,501,114,600,09:30〜10:00,433,663,1591,686,99,864,610,180,567,09:30〜10:00,,,,,,,,,,09:30〜10:00,,,,,,,,,,09:30〜10:00,,,,,,,,,,09:30〜10:00,,,,,,,,,,09:30〜10:00,,,,,,,,,,09:30〜10:00,,,,,,,,,
10:00〜10:30,250,1024,3415,2317,217,1164,558,347,1050,10:00〜10:30,469,1002,1392,1434,249,1028,659,371,980,10:00〜10:30,515,604,1204,1172,155,1049,539,284,819,10:00〜10:30,528,586,1187,941,117,554,491,144,572,10:00〜10:30,433,577,1543,759,246,874,501,112,588,10:00〜10:30,424,646,1570,730,204,848,610,171,546,10:00〜10:30,,,,,,,,,,10:00〜10:30,,,,,,,,,,10:00〜10:30,,,,,,,,,,10:00〜10:30,,,,,,,,,,10:00〜10:30,,,,,,,,,,10:00〜10:30,,,,,,,,,
10:30〜11:00,254,1009,3414,2311,218,1137,585,351,1057,10:30〜11:00,478,998,1343,1450,254,1001,657,376,999,10:30〜11:00,518,628,1148,1158,152,1030,539,279,812,10:30〜11:00,522,597,1175,941,117,571,502,145,580,10:30〜11:00,429,581,1527,751,266,885,519,112,585,10:30〜11:00,422,639,1550,752,222,853,626,174,535,10:30〜11:00,,,,,,,,,,10:30〜11:00,,,,,,,,,,10:30〜11:00,,,,,,,,,,10:30〜11:00,,,,,,,,,,10:30〜11:00,,,,,,,,,,10:30〜11:00,,,,,,,,,
11:00〜11:30,267,1009,3414,2005,221,1137,583,360,1056,11:00〜11:30,488,998,1396,1450,259,1013,630,369,999,11:00〜11:30,521,628,1151,1158,155,1056,539,284,812,11:00〜11:30,522,597,1128,933,117,585,531,145,580,11:00〜11:30,413,581,1553,602,268,908,533,114,585,11:00〜11:30,427,640,1555,607,222,854,641,174,535,11:00〜11:30,,,,,,,,,,11:00〜11:30,,,,,,,,,,11:00〜11:30,,,,,,,,,,11:00〜11:30,,,,,,,,,,11:00〜11:30,,,,,,,,,,11:00〜11:30,,,,,,,,,
11:30〜12:00,255,1009,3414,2005,229,979,516,364,1056,11:30〜12:00,497,998,1396,1450,260,1000,588,368,999,11:30〜12:00,522,628,1214,1158,155,1028,539,284,812,11:30〜12:00,522,597,1210,933,117,477,532,145,580,11:30〜12:00,335,581,1532,640,266,921,535,114,585,11:30〜12:00,366,628,1555,618,222,850,606,174,535,11:30〜12:00,,,,,,,,,,11:30〜12:00,,,,,,,,,,11:30〜12:00,,,,,,,,,,11:30〜12:00,,,,,,,,,,11:30〜12:00,,,,,,,,,,11:30〜12:00,,,,,,,,,
12:00〜12:30,201,1102,1856,1806,239,663,500,358,1016,12:00〜12:30,375,1088,1319,1722,261,619,410,351,987,12:00〜12:30,385,701,1355,1257,168,561,466,245,686,12:00〜12:30,384,665,1136,1260,167,514,522,279,634,12:00〜12:30,273,634,1317,637,172,560,375,264,588,12:00〜12:30,286,634,3032,587,175,485,486,295,571,12:00〜12:30,,,,,,,,,,12:00〜12:30,,,,,,,,,,12:00〜12:30,,,,,,,,,,12:00〜12:30,,,,,,,,,,12:00〜12:30,,,,,,,,,,12:00〜12:30,,,,,,,,,
12:30〜13:00,201,1102,1810,1789,257,663,500,358,1016,12:30〜13:00,375,1088,1319,1710,258,619,410,351,987,12:30〜13:00,385,735,1355,1281,168,561,473,222,686,12:30〜13:00,384,768,1292,1234,158,561,522,256,626,12:30〜13:00,257,692,1370,684,170,560,375,246,586,12:30〜13:00,282,617,3032,638,175,478,486,279,571,12:30〜13:00,,,,,,,,,,12:30〜13:00,,,,,,,,,,12:30〜13:00,,,,,,,,,,12:30〜13:00,,,,,,,,,,12:30〜13:00,,,,,,,,,,12:30〜13:00,,,,,,,,,
13:00〜13:30,201,1102,1739,1766,277,663,495,355,1020,13:00〜13:30,375,1088,1319,1706,286,617,393,337,987,13:00〜13:30,385,735,1355,1274,168,561,446,201,686,13:00〜13:30,384,756,1387,1227,157,648,510,227,626,13:00〜13:30,257,712,1351,764,170,560,375,230,588,13:00〜13:30,282,629,3032,741,175,477,471,267,588,13:00〜13:30,,,,,,,,,,13:00〜13:30,,,,,,,,,,13:00〜13:30,,,,,,,,,,13:00〜13:30,,,,,,,,,,13:00〜13:30,,,,,,,,,,13:00〜13:30,,,,,,,,,
13:30〜14:00,195,1148,1720,1701,281,677,506,359,1001,13:30〜14:00,368,1097,1317,1651,293,605,421,346,970,13:30〜14:00,383,754,1324,1256,168,550,472,209,693,13:30〜14:00,386,741,1387,1215,168,649,522,205,637,13:30〜14:00,263,730,1351,770,171,560,375,215,602,13:30〜14:00,293,634,3051,741,181,477,490,261,598,13:30〜14:00,,,,,,,,,,13:30〜14:00,,,,,,,,,,13:30〜14:00,,,,,,,,,,13:30〜14:00,,,,,,,,,,13:30〜14:00,,,,,,,,,,13:30〜14:00,,,,,,,,,
14:00〜14:30,151,1217,1723,1011,281,552,504,356,867,14:00〜14:30,169,1130,1434,1158,298,601,422,344,781,14:00〜14:30,186,777,1347,1186,170,538,471,211,707,14:00〜14:30,211,754,1387,1052,176,653,522,208,660,14:00〜14:30,201,730,1359,770,159,560,375,217,611,14:00〜14:30,317,634,3111,745,178,477,494,263,609,14:00〜14:30,,,,,,,,,,14:00〜14:30,,,,,,,,,,14:00〜14:30,,,,,,,,,,14:00〜14:30,,,,,,,,,,14:00〜14:30,,,,,,,,,,14:00〜14:30,,,,,,,,,
14:30〜15:00,160,1201,1854,1043,281,558,546,351,862,14:30〜15:00,173,1195,1464,1180,299,606,441,348,765,14:30〜15:00,189,806,1406,1192,168,556,487,167,724,14:30〜15:00,199,774,1431,1062,178,662,522,220,651,14:30〜15:00,200,730,1382,770,162,560,375,229,616,14:30〜15:00,289,634,3134,745,173,477,486,253,624,14:30〜15:00,,,,,,,,,,14:30〜15:00,,,,,,,,,,14:30〜15:00,,,,,,,,,,14:30〜15:00,,,,,,,,,,14:30〜15:00,,,,,,,,,,14:30〜15:00,,,,,,,,,
15:00〜15:30,162,430,1796,816,259,605,273,335,676,15:00〜15:30,163,443,943,883,282,628,573,298,666,15:00〜15:30,150,405,963,882,151,604,588,183,674,15:00〜15:30,144,486,1052,845,168,532,586,175,661,15:00〜15:30,148,685,1068,867,169,643,625,178,788,15:00〜15:30,121,824,1170,813,178,713,602,169,826,15:00〜15:30,,,,,,,,,,15:00〜15:30,,,,,,,,,,15:00〜15:30,,,,,,,,,,15:00〜15:30,,,,,,,,,,15:00〜15:30,,,,,,,,,,15:00〜15:30,,,,,,,,,
15:30〜16:00,162,430,1796,816,259,605,273,335,676,15:30〜16:00,163,443,943,883,282,628,573,298,669,15:30〜16:00,150,405,963,882,146,604,588,192,681,15:30〜16:00,144,486,1052,845,168,536,585,175,661,15:30〜16:00,146,685,1068,867,169,651,625,178,788,15:30〜16:00,121,824,1170,813,178,713,601,169,826,15:30〜16:00,,,,,,,,,,15:30〜16:00,,,,,,,,,,15:30〜16:00,,,,,,,,,,15:30〜16:00,,,,,,,,,,15:30〜16:00,,,,,,,,,,15:30〜16:00,,,,,,,,,
16:00〜16:30,162,430,1796,816,259,605,273,335,677,16:00〜16:30,163,443,943,883,282,628,573,298,677,16:00〜16:30,150,405,963,882,148,587,588,185,686,16:00〜16:30,144,486,1052,845,160,536,586,175,651,16:00〜16:30,148,687,1068,867,161,648,625,178,788,16:00〜16:30,121,824,1170,814,171,713,605,169,826,16:00〜16:30,,,,,,,,,,16:00〜16:30,,,,,,,,,,16:00〜16:30,,,,,,,,,,16:00〜16:30,,,,,,,,,,16:00〜16:30,,,,,,,,,,16:00〜16:30,,,,,,,,,
16:30〜17:00,154,444,1824,821,266,613,278,337,651,16:30〜17:00,154,439,871,896,284,613,579,293,658,16:30〜17:00,150,400,1027,895,151,594,593,187,673,16:30〜17:00,143,491,1079,862,165,522,595,178,672,16:30〜17:00,144,693,1051,862,168,709,642,176,834,16:30〜17:00,117,850,1140,844,175,729,618,175,864,16:30〜17:00,,,,,,,,,,16:30〜17:00,,,,,,,,,,16:30〜17:00,,,,,,,,,,16:30〜17:00,,,,,,,,,,16:30〜17:00,,,,,,,,,,16:30〜17:00,,,,,,,,,
17:00〜17:30,129,438,1904,679,233,600,254,310,564,17:00〜17:30,151,419,577,857,243,622,570,233,634,17:00〜17:30,152,380,885,808,124,620,586,194,649,17:00〜17:30,136,444,1072,817,167,553,592,188,647,17:00〜17:30,137,665,1039,790,172,719,550,188,806,17:00〜17:30,112,777,1119,877,179,745,524,183,840,17:00〜17:30,,,,,,,,,,17:00〜17:30,,,,,,,,,,17:00〜17:30,,,,,,,,,,17:00〜17:30,,,,,,,,,,17:00〜17:30,,,,,,,,,,17:00〜17:30,,,,,,,,,
17:30〜18:00,96,417,1220,694,212,636,256,246,555,17:30〜18:00,124,422,554,916,213,624,433,243,639,17:30〜18:00,138,393,860,885,120,622,448,202,648,17:30〜18:00,135,447,1105,886,170,571,478,193,670,17:30〜18:00,136,607,1050,812,175,724,310,187,704,17:30〜18:00,121,664,1106,898,181,754,337,186,757,17:30〜18:00,,,,,,,,,,17:30〜18:00,,,,,,,,,,17:30〜18:00,,,,,,,,,,17:30〜18:00,,,,,,,,,,17:30〜18:00,,,,,,,,,,17:30〜18:00,,,,,,,,,
18:00〜18:30,123,298,1452,313,94,471,241,77,387,18:00〜18:30,120,428,529,336,92,482,295,155,385,18:00〜18:30,153,396,699,342,90,510,311,170,366,18:00〜18:30,145,421,979,360,81,737,307,162,316,18:00〜18:30,162,375,973,338,72,855,217,142,280,18:00〜18:30,157,298,1041,359,67,894,230,98,312,18:00〜18:30,,,,,,,,,,18:00〜18:30,,,,,,,,,,18:00〜18:30,,,,,,,,,,18:00〜18:30,,,,,,,,,,18:00〜18:30,,,,,,,,,,18:00〜18:30,,,,,,,,,
18:30〜19:00,157,303,1601,313,94,471,242,77,387,18:30〜19:00,142,457,593,336,92,482,293,155,385,18:30〜19:00,160,422,647,342,90,510,311,170,366,18:30〜19:00,140,413,981,360,81,737,307,162,316,18:30〜19:00,160,367,976,338,72,855,217,142,280,18:30〜19:00,157,295,1041,359,67,894,230,98,312,18:30〜19:00,,,,,,,,,,18:30〜19:00,,,,,,,,,,18:30〜19:00,,,,,,,,,,18:30〜19:00,,,,,,,,,,18:30〜19:00,,,,,,,,,,18:30〜19:00,,,,,,,,,
19:00〜19:30,150,300,1706,313,94,471,236,77,387,19:00〜19:30,131,453,668,336,92,482,295,155,385,19:00〜19:30,153,422,672,342,90,500,311,170,366,19:00〜19:30,137,413,954,360,81,737,307,162,316,19:00〜19:30,159,367,947,338,72,855,217,142,280,19:00〜19:30,153,293,1021,350,67,894,230,98,312,19:00〜19:30,,,,,,,,,,19:00〜19:30,,,,,,,,,,19:00〜19:30,,,,,,,,,,19:00〜19:30,,,,,,,,,,19:00〜19:30,,,,,,,,,,19:00〜19:30,,,,,,,,,
19:30〜20:00,151,298,1734,313,94,471,241,77,389,19:30〜20:00,131,460,680,336,91,478,292,147,381,19:30〜20:00,153,431,678,342,89,500,310,169,364,19:30〜20:00,140,422,963,359,81,747,311,162,318,19:30〜20:00,164,378,973,340,72,857,221,141,283,19:30〜20:00,153,298,1054,355,68,895,234,100,312,19:30〜20:00,,,,,,,,,,19:30〜20:00,,,,,,,,,,19:30〜20:00,,,,,,,,,,19:30〜20:00,,,,,,,,,,19:30〜20:00,,,,,,,,,,19:30〜20:00,,,,,,,,,
20:00〜20:30,151,282,1734,317,94,471,241,77,403,20:00〜20:30,131,460,680,336,92,482,286,122,370,20:00〜20:30,153,434,678,320,91,515,291,113,360,20:00〜20:30,141,424,963,362,83,757,297,107,269,20:00〜20:30,165,372,980,338,72,689,219,81,286,20:00〜20:30,153,302,1079,353,67,716,230,89,315,20:00〜20:30,,,,,,,,,,20:00〜20:30,,,,,,,,,,20:00〜20:30,,,,,,,,,,20:00〜20:30,,,,,,,,,,20:00〜20:30,,,,,,,,,,20:00〜20:30,,,,,,,,,
20:30〜21:00,151,282,1734,319,94,471,242,78,405,20:30〜21:00,131,460,680,336,83,486,264,93,356,20:30〜21:00,153,435,678,331,91,506,244,88,350,20:30〜21:00,143,432,963,354,84,760,272,87,240,20:30〜21:00,167,378,995,350,72,710,227,82,278,20:30〜21:00,153,299,1115,375,67,747,237,93,314,20:30〜21:00,,,,,,,,,,20:30〜21:00,,,,,,,,,,20:30〜21:00,,,,,,,,,,20:30〜21:00,,,,,,,,,,20:30〜21:00,,,,,,,,,,20:30〜21:00,,,,,,,,,
21:00〜21:30,126,313,1633,392,143,522,227,77,472,21:00〜21:30,137,424,1238,361,84,391,246,76,291,21:00〜21:30,148,338,1098,315,91,506,241,64,285,21:00〜21:30,162,331,1002,342,91,795,255,74,258,21:00〜21:30,145,321,908,368,89,723,263,76,257,21:00〜21:30,139,287,1012,404,95,783,274,85,276,21:00〜21:30,,,,,,,,,,21:00〜21:30,,,,,,,,,,21:00〜21:30,,,,,,,,,,21:00〜21:30,,,,,,,,,,21:00〜21:30,,,,,,,,,,21:00〜21:30,,,,,,,,,
21:30〜22:00,126,399,1638,393,158,522,227,77,502,21:30〜22:00,137,444,1238,362,84,391,246,76,293,21:30〜22:00,148,338,1098,304,92,481,241,64,285,21:30〜22:00,162,331,1002,342,93,811,255,74,252,21:30〜22:00,145,321,908,366,94,738,263,76,257,21:30〜22:00,139,270,1012,404,102,787,273,85,275,21:30〜22:00,,,,,,,,,,21:30〜22:00,,,,,,,,,,21:30〜22:00,,,,,,,,,,21:30〜22:00,,,,,,,,,,21:30〜22:00,,,,,,,,,,21:30〜22:00,,,,,,,,,
22:00〜22:30,125,460,1642,392,166,516,227,77,530,22:00〜22:30,136,442,1250,360,83,391,246,76,289,22:00〜22:30,148,338,1098,308,91,538,241,64,285,22:00〜22:30,162,331,1002,341,90,819,255,74,255,22:00〜22:30,145,321,908,365,99,748,262,76,252,22:00〜22:30,139,296,1013,402,111,809,273,85,271,22:00〜22:30,,,,,,,,,,22:00〜22:30,,,,,,,,,,22:00〜22:30,,,,,,,,,,22:00〜22:30,,,,,,,,,,22:00〜22:30,,,,,,,,,,22:00〜22:30,,,,,,,,,
22:30〜23:00,127,462,1604,402,168,513,228,77,530,22:30〜23:00,137,449,1256,370,81,391,249,74,297,22:30〜23:00,149,341,1112,306,91,543,241,64,292,22:30〜23:00,162,331,1006,340,92,817,252,73,259,22:30〜23:00,145,327,893,368,102,749,254,74,263,22:30〜23:00,137,301,997,404,112,811,262,82,282,22:30〜23:00,,,,,,,,,,22:30〜23:00,,,,,,,,,,22:30〜23:00,,,,,,,,,,22:30〜23:00,,,,,,,,,,22:30〜23:00,,,,,,,,,,22:30〜23:00,,,,,,,,,
23:00〜23:30,127,467,1540,405,167,501,218,67,531,23:00〜23:30,138,451,1237,361,82,391,250,60,305,23:00〜23:30,150,302,1072,306,91,543,240,55,302,23:00〜23:30,163,297,991,348,92,815,229,63,264,23:00〜23:30,141,296,867,375,105,760,215,62,266,23:00〜23:30,133,285,955,412,114,817,220,71,278,23:00〜23:30,,,,,,,,,,23:00〜23:30,,,,,,,,,,23:00〜23:30,,,,,,,,,,23:00〜23:30,,,,,,,,,,23:00〜23:30,,,,,,,,,,23:00〜23:30,,,,,,,,,
23:30〜00:00,128,469,1550,407,168,444,206,60,512,23:30〜00:00,140,457,1228,357,76,391,240,56,298,23:30〜00:00,148,291,985,306,85,527,247,51,293,23:30〜00:00,162,281,949,352,83,804,233,56,267,23:30〜00:00,142,280,832,379,111,769,208,59,260,23:30〜00:00,134,271,903,420,117,813,208,64,274,23:30〜00:00,,,,,,,,,,23:30〜00:00,,,,,,,,,,23:30〜00:00,,,,,,,,,,23:30〜00:00,,,,,,,,,,23:30〜00:00,,,,,,,,,,23:30〜00:00,,,,,,,,,
